id,country,city,neighbourhood,property_type,price,review_scores_rating
16146458,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$450.00,90
5636187,Sweden,Stockholm,Östermalm,Apartment,"$1,203.00",92
6434668,Sweden,Stockholm,Södermalm,Apartment,"$3,600.00",100
36365575,Sweden,Hägersten Stockholm,Hägersten-Liljeholmen,Apartment,$460.00,100
13134884,Sweden,Stockholm,Kungsholmen,Apartment,"$3,004.00",100
9408456,Norway,Oslo,Grünerløkka,Apartment,$908.00,80
2949340,Norway,Oslo,Sagene,Apartment,$799.00,98
15307581,Sweden,Stockholm,Norrmalm,Apartment,$988.00,93
15628102,Sweden,Stockholm,Södermalm,Apartment,"$2,201.00",99
6720584,Sweden,Stockholm,Skarpnäck,Apartment,$646.00,95
17895780,Sweden,Stockholm,Skarpnäck,House,"$1,751.00",98
35667198,Sweden,Kungsholmen,Kungsholmen,Condominium,$998.00,100
10826635,Norway,Oslo,Gamle Oslo,Apartment,$518.00,99
13470822,Sweden,Stockholm,Södermalm,Apartment,$998.00,98
26767012,Sweden,Södermalm,Södermalm,Apartment,"$3,004.00",94
19900516,Sweden,Stockholm,Skärholmen,Apartment,$881.00,100
1182616,Sweden,Stockholm,Kungsholmen,Apartment,$626.00,84
13904414,Sweden,Stockholm,Kungsholmen,Apartment,"$1,066.00",100
20777510,Sweden,Kungsholmen,Kungsholmen,Apartment,$284.00,99
20783641,Sweden,Hammarbyhöjden,Skarpnäck,Apartment,$479.00,80
565912,Sweden,Stockholm,Hägersten-Liljeholmen,House,"$2,514.00",95
6836406,Sweden,Stockholm,Östermalm,Apartment,$900.00,99
4773380,Sweden,Stockholm,Bromma,Apartment,"$1,096.00",100
7746807,Sweden,Stockholm,Hägersten-Liljeholmen,Condominium,"$1,468.00",100
19614063,Sweden,Östermalm,Östermalm,Apartment,"$1,194.00",98
29206032,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$196.00,100
34430492,Sweden,Södermalm,Skarpnäck,Apartment,"$1,497.00",100
37391411,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$284.00,20
34711956,Sweden,Farsta,Farsta,Apartment,$499.00,100
1254136,Norway,Oslo,Nordre Aker,Apartment,$654.00,95
31190530,Sweden,Södermalm,Södermalm,Apartment,$401.00,93
36448782,Sweden,Skarpnäcks Gård,Skarpnäck,Villa,"$1,800.00",100
