id,country,city,neighbourhood,property_type,price,review_scores_rating
23442224,Sweden,Södermalm,Södermalm,Hostel,$235.00,67
32880579,Sweden,Kungsholmen,Kungsholmen,Apartment,$744.00,92
31304118,Sweden,Södermalm,Södermalm,Apartment,"$1,145.00",100
11006490,Norway,Oslo,Gamle Oslo,Apartment,"$1,589.00",94
4595163,Sweden,Stockholm,Östermalm,Apartment,"$1,252.00",95
845365,Sweden,Bredäng,Skärholmen,Apartment,"$1,996.00",91
35834102,Sweden,Östermalm,Östermalm,Apartment,$519.00,90
19006129,Sweden,Kungsholmen,Kungsholmen,Apartment,$548.00,100
26130891,Sweden,Hässelby-Vällingby,Spånga-Tensta,House,$323.00,95
3014941,Norway,Oslo,Sagene,Apartment,$400.00,93
35527876,Sweden,Södermalm,Södermalm,Apartment,"$1,203.00",100
5465693,Norway,Oslo,Gamle Oslo,Condominium,$799.00,90
27793403,Sweden,Stockholm,Bromma,Apartment,$470.00,96
1189469,Sweden,Stockholm,Östermalm,Condominium,"$1,849.00",97
3054280,Norway,Sagene,Sagene,Apartment,$817.00,95
33871503,Sweden,Södermalm,Södermalm,Apartment,"$1,898.00",100
5815266,Sweden,Stockholm,Södermalm,Apartment,"$1,017.00",90
6821328,Sweden,Stockholm,Farsta,House,"$1,859.00",94
26357803,Sweden,Hässelby-Vällingby,Hässelby-Vällingby,Townhouse,$900.00,100
13760423,Sweden,Stockholm,Kungsholmen,Apartment,$949.00,95
9731827,Norway,Oslo,Grefsen,House,$345.00,99
13491172,Sweden,Stockholm,Norrmalm,Apartment,$802.00,99
3910940,Sweden,Hammarbyhöjden,Skarpnäck,Apartment,"$1,252.00",98
11332014,Norway,Oslo,St. Hanshaugen,Apartment,$854.00,100
5267850,Norway,Oslo,Majorstuen,Apartment,$636.00,95
7065573,Sweden,Stockholm,Södermalm,Apartment,$998.00,98
34619373,Sweden,Kungsholmen,Kungsholmen,Apartment,$567.00,93
38024377,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$382.00,100
2952002,Norway,Oslo,Nordstrand,Apartment,"$1,144.00",100
13114829,Norway,Oslo,St. Hanshaugen,Apartment,$654.00,80
31549020,Sweden,Solhem,Spånga-Tensta,Townhouse,$939.00,100
1735127,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$685.00,93
2351730,Sweden,Stockholm,Södermalm,Apartment,"$1,096.00",100
17742573,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$988.00,97
31375895,Sweden,Södermalm,Södermalm,Apartment,$890.00,93
11348672,Norway,Oslo,Gamle Oslo,Apartment,"$1,153.00",100
12991470,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$577.00,93
7004382,Norway,Oslo,Frogner,Apartment,$300.00,95
13170677,Sweden,Stockholm,Kungsholmen,Apartment,$695.00,90
33313420,Sweden,Södermalm,Södermalm,Apartment,$998.00,100
29296580,Sweden,Södermalm,Södermalm,Loft,"$4,001.00",100
9363571,Sweden,Stockholm,Södermalm,Apartment,$753.00,100
31701608,Sweden,Skärholmen,Skärholmen,Apartment,$254.00,100
7575082,Norway,Oslo,Gamle Oslo,Apartment,$400.00,96
7722957,Sweden,Stockholm,Östermalm,Apartment,$792.00,97
17457981,Sweden,Stockholm,Älvsjö,House,"$2,084.00",100
37113457,Sweden,Södermalm,Södermalm,Apartment,$499.00,93
30166142,Sweden,Norrmalm,Norrmalm,Apartment,$851.00,100
7087406,Norway,Oslo,Grünerløkka,Apartment,$499.00,97
10567157,Norway,Alna,Alna,Apartment,$854.00,100
6753639,Sweden,Gamla Stan,Södermalm,Apartment,"$2,524.00",97
18669695,Sweden,Stockholm,Östermalm,Apartment,"$1,047.00",89
4125674,Sweden,Stockholm,Skarpnäck,Apartment,$264.00,97
15564434,Sweden,Stockholm,Bromma,Apartment,$558.00,80
8931999,Sweden,Gamla stan,Södermalm,Apartment,"$3,503.00",99
17170850,Sweden,Stockholm,Södermalm,Apartment,$597.00,92
11386857,Norway,Oslo,Grünerløkka,Apartment,$699.00,95
24272170,Sweden,Norrmalm,Norrmalm,Loft,"$6,995.00",100
13957394,Sweden,Stockholm,Skarpnäck,Apartment,$352.00,93
8302488,Sweden,Stockholm,Södermalm,Apartment,$753.00,89
28302724,Sweden,Södermalm,Södermalm,Apartment,"$1,017.00",100
3010643,Sweden,Stockholm,Södermalm,Apartment,"$1,096.00",96
26114985,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$352.00,100
16006742,Sweden,Stockholm,Hägersten-Liljeholmen,Cabin,$998.00,100
22625465,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$147.00,87
2491795,Norway,Oslo,Grünerløkka,Apartment,$409.00,96
27500228,Sweden,Skarpnäcks Gård,Skarpnäck,Apartment,$802.00,100
20892898,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Boat,$988.00,98
6875326,Norway,Oslo,Frogner,Apartment,"$1,353.00",98
24601694,Sweden,Kärrtorp,Skarpnäck,Townhouse,"$1,350.00",100
12805761,Sweden,Stockholm,Södermalm,Apartment,"$1,702.00",100
12749320,Norway,Oslo,Sentrum,Apartment,"$1,498.00",69
19489550,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$254.00,96
35300027,Sweden,Södermalm,Södermalm,Apartment,"$1,379.00",95
13697461,Sweden,Stockholm,Norrmalm,Apartment,$724.00,60
36256197,Sweden,Kungsholmen,Bromma,Apartment,$802.00,100
25816666,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Villa,"$2,505.00",100
26122081,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$597.00,93
17698855,Sweden,Stockholm,Norrmalm,Apartment,"$1,605.00",95
20045899,Sweden,Norrmalm,Norrmalm,Apartment,$998.00,98
8270675,Norway,Oslo,Ullern,Townhouse,$554.00,98
10292030,Sweden,Stockholm,Norrmalm,Apartment,$851.00,99
6930155,Sweden,Stockholm,Södermalm,Apartment,"$1,624.00",97
6613245,Sweden,Stockholm,Norrmalm,Apartment,"$1,203.00",88
26326230,Sweden,Stockholm,Skarpnäck,Apartment,"$1,800.00",100
34879898,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$333.00,100
23375547,Sweden,Södermalm,Södermalm,Apartment,"$1,800.00",95
610948,Sweden,Stockholm,Södermalm,Apartment,$998.00,99
25206758,Sweden,Södermalm,Södermalm,Apartment,$753.00,97
26617753,Sweden,Södermalm,Södermalm,Apartment,$548.00,97
4659006,Norway,Oslo,Grünerløkka,Apartment,$699.00,100
34004687,Sweden,Södermalm,Södermalm,Apartment,"$2,505.00",100
1640910,Sweden,Stockholm,Södermalm,Apartment,"$1,497.00",89
16157864,Sweden,Stockholm,Skarpnäck,Apartment,$597.00,100
16802149,Sweden,Stockholm,Hägersten-Liljeholmen,Villa,"$1,800.00",99
13854330,Sweden,Stockholm,Kungsholmen,Apartment,$802.00,93
26919915,Sweden,Östermalm,Östermalm,Apartment,$695.00,99
24436118,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$421.00,86
16437808,Sweden,Stockholm,Skarpnäck,Apartment,$294.00,100
5690866,Sweden,Stockholm,Södermalm,Apartment,$988.00,98
2967015,Sweden,Stockholm,Norrmalm,Apartment,"$1,301.00",100
35998661,Sweden,Kista,Rinkeby-Kista,Apartment,$254.00,96
1578027,Sweden,Hägersten,Hägersten-Liljeholmen,Apartment,$225.00,96
20115673,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,House,"$2,505.00",100
6087520,Norway,Oslo,Sagene,House,$381.00,95
8233875,Sweden,Stockholm,Norrmalm,Apartment,$851.00,100
14181539,Sweden,Stockholm,Norrmalm,Apartment,$528.00,98
4765380,Sweden,Stockholm,Södermalm,Apartment,"$1,497.00",91
4658495,Sweden,Stockholm,Östermalm,Apartment,$988.00,96
4631361,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$450.00,100
4378145,Sweden,Norrmalm,Norrmalm,Apartment,"$1,145.00",95
13146521,Sweden,Stockholm,Södermalm,Apartment,"$1,203.00",100
35853120,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$597.00,100
32786547,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$802.00,98
6921500,Sweden,Stockholm,Skarpnäck,Apartment,$734.00,100
35990677,Sweden,Östermalm,Östermalm,Apartment,$910.00,100
6111802,Sweden,Stockholm,Östermalm,Apartment,$616.00,89
7249316,Norway,Oslo,Bjerke,Apartment,$654.00,100
12844690,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$802.00,100
