id,country,city,neighbourhood,property_type,price,review_scores_rating
12040880,Norway,Oslo,Majorstuen,Apartment,$699.00,99
9708793,Norway,Oslo,Grünerløkka,Apartment,$953.00,100
6138390,Norway,Oslo,Grünerløkka,Apartment,$844.00,94
20822335,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$284.00,94
8214754,Sweden,Stockholm,Södermalm,Apartment,"$1,497.00",100
6356574,Norway,Oslo,Sagene,Apartment,$354.00,96
8214813,Norway,Oslo,Grünerløkka,Apartment,$681.00,96
15509168,Sweden,Stockholm,Södermalm,Loft,$998.00,98
9506344,Sweden,Stockholm,Norrmalm,Apartment,$421.00,100
4345037,Sweden,Stockholm,Bromma,House,"$3,503.00",98
33545926,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$499.00,100
21070129,Sweden,Stockholm,Södermalm,Apartment,$607.00,96
25233926,Sweden,Södermalm,Södermalm,Apartment,$626.00,100
504052,Norway,Oslo,Sagene,Apartment,$409.00,89
36070504,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Serviced apartment,$998.00,100
22863448,Sweden,Stockholm,Farsta,Guest suite,$499.00,92
11383251,Sweden,Stockholm,Södermalm,Apartment,"$1,399.00",100
1242994,Norway,Oslo,Gamle Oslo,Apartment,"$1,171.00",96
16097726,Sweden,Stockholm,Södermalm,Apartment,$753.00,97
3857300,Norway,Oslo,Sagene,Apartment,"$1,498.00",100
11177415,Norway,Gamle Oslo,Gamle Oslo,Apartment,$490.00,96
13967146,Sweden,Stockholm,Norrmalm,Apartment,$998.00,70
4434485,Norway,Oslo,St. Hanshaugen,Apartment,"$1,099.00",100
7159161,Sweden,Stockholm,Bromma,House,$528.00,94
514210,Sweden,Stockholm,Farsta,Apartment,$587.00,97
36626145,Sweden,Kungsholmen,Kungsholmen,Apartment,$802.00,100
5243422,Sweden,Stockholm,Södermalm,Apartment,"$1,096.00",95
18496113,Sweden,Stockholm,Östermalm,Apartment,$303.00,99
36166945,Sweden,Södermalm,Södermalm,Apartment,$900.00,100
985944,Sweden,Stockholm,Södermalm,Apartment,"$1,790.00",100
25101069,Sweden,Norrmalm,Norrmalm,Apartment,$450.00,88
27996395,Sweden,Södermalm,Södermalm,Apartment,$998.00,100
10845022,Sweden,Stockholm,Södermalm,Apartment,$519.00,96
23776209,Sweden,Farsta,Farsta,House,"$1,702.00",94
21557089,Sweden,Södermalm,Södermalm,Apartment,$802.00,99
5846703,Sweden,Stockholm,Spånga-Tensta,Apartment,$284.00,96
18872110,Sweden,Stockholm,Bromma,House,"$3,004.00",100
32545118,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$499.00,97
11509509,Sweden,Stockholm,Norrmalm,Apartment,"$1,203.00",97
12030077,Sweden,Stockholm,Södermalm,Apartment,$704.00,95
29836182,Sweden,Stockholm,Östermalm,Apartment,$499.00,100
