id,country,city,neighbourhood,property_type,price,review_scores_rating
26387358,Sweden,Stockholm,Södermalm,Apartment,$851.00,99
610034,Sweden,Stockholm,Södermalm,Apartment,$998.00,97
36503314,Sweden,Stockholm,Norrmalm,Apartment,$646.00,80
18655178,Sweden,Stockholm,Norrmalm,Apartment,"$1,203.00",100
7111078,Norway,Oslo,Grünerløkka,Apartment,$699.00,100
9649252,Sweden,Norrmalm,Norrmalm,Apartment,$900.00,100
6872791,Sweden,Stockholm,Södermalm,Apartment,$695.00,100
3546921,Sweden,Stockholm,Södermalm,Apartment,$548.00,97
17836042,Sweden,Stockholm,Södermalm,Loft,"$1,301.00",98
1400135,Sweden,Stockholm,Östermalm,Apartment,"$1,203.00",93
18715193,Sweden,Stockholm,Södermalm,Apartment,"$1,996.00",100
36617361,Sweden,Ladugårdsgärdet,Östermalm,Apartment,$548.00,85
5695612,Sweden,Stockholm,Kungsholmen,Apartment,"$1,096.00",100
4425913,Norway,Oslo,Alna,Apartment,$327.00,97
14398951,Sweden,Stockholm,Kungsholmen,Apartment,$900.00,98
7466563,Sweden,Stockholm,Kungsholmen,Apartment,$607.00,94
3135410,Norway,Oslo,St. Hanshaugen,Apartment,$372.00,97
6161942,Sweden,Stockholm,Spånga-Tensta,House,$802.00,100
25497346,Sweden,Norrmalm,Norrmalm,Apartment,$577.00,100
2682351,Sweden,Stockholm,Norrmalm,Apartment,$597.00,95
23724761,Sweden,Norrmalm,Norrmalm,Apartment,"$1,096.00",97
25839716,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$998.00,96
21879626,Sweden,Södermalm,Södermalm,Apartment,"$2,505.00",87
7167455,Sweden,Stockholm,Bromma,Villa,$470.00,85
35539160,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$998.00,100
3576943,Sweden,Stockholm,Skarpnäck,Apartment,$597.00,92
2266741,Sweden,Stockholm,Södermalm,Apartment,$792.00,99
13028644,Norway,Oslo,Majorstuen,Apartment,$654.00,100
11255646,Sweden,Stockholm,Skarpnäck,Apartment,$704.00,100
25229587,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$489.00,100
7676090,Sweden,Stockholm,Östermalm,Apartment,"$1,497.00",80
4569091,Norway,Oslo,Alna,House,"$1,299.00",97
8061762,Sweden,Stockholm,Södermalm,Apartment,"$1,898.00",98
13568286,Sweden,Stockholm,Södermalm,Apartment,$548.00,98
11690205,Norway,Oslo,Grünerløkka,Apartment,$654.00,98
17774280,Sweden,Stockholm,Östermalm,Apartment,"$1,203.00",92
17222062,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$998.00,90
6586429,Norway,Oslo,Sagene,Apartment,$854.00,92
17116262,Sweden,Stockholm,Kungsholmen,Apartment,$998.00,93
7912264,Norway,Oslo,Gamle Oslo,Condominium,$599.00,100
22640646,Sweden,Södermalm,Södermalm,Bed and breakfast,$792.00,93
6944215,Sweden,Stockholm,Kungsholmen,Apartment,$949.00,100
6022432,Norway,Oslo,St. Hanshaugen,Apartment,"$1,099.00",88
1719849,Norway,Oslo,Gamle Oslo,Condominium,$999.00,95
588353,Norway,Oslo,Grünerløkka,Apartment,$300.00,90
30290040,Sweden,Södermalm,Södermalm,Apartment,$890.00,96
