id,country,city,neighbourhood,property_type,price,review_scores_rating
18803572,Sweden,Stockholm,Södermalm,Apartment,"$1,203.00",98
34691346,Sweden,Södermalm,Södermalm,Apartment,$900.00,100
19678422,Sweden,Stockholm,Södermalm,Apartment,$900.00,98
17352259,Sweden,Stockholm,Norrmalm,Apartment,"$1,605.00",100
2684974,Sweden,Stockholm,Södermalm,Apartment,"$1,497.00",88
19655181,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$616.00,98
16081124,Sweden,Stockholm,Östermalm,Apartment,$969.00,93
13041342,Sweden,Stockholm,Södermalm,Apartment,$929.00,99
14690946,Sweden,Stockholm,Skarpnäck,Apartment,$978.00,87
11919400,Sweden,Stockholm,Östermalm,Apartment,$411.00,92
24940632,Sweden,Kungsholmen,Kungsholmen,Serviced apartment,$548.00,95
18172996,Sweden,Stockholm,Bromma,Apartment,$489.00,100
19657776,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$802.00,91
1307331,Sweden,Stockholm,Hägersten-Liljeholmen,Townhouse,"$2,143.00",93
14328333,Sweden,Stockholm,Södermalm,Apartment,"$1,203.00",100
34352653,Sweden,Södermalm,Södermalm,Apartment,"$1,154.00",93
19522814,Sweden,Ladugårdsgärdet,Östermalm,Apartment,$479.00,93
11789555,Norway,Oslo,St. Hanshaugen,Apartment,$790.00,100
12075706,Norway,Oslo,Grünerløkka,Apartment,"$1,153.00",100
26555721,Sweden,Hammarbyhöjden,Skarpnäck,Apartment,$704.00,100
19709617,Sweden,Södermalm,Södermalm,Apartment,$881.00,96
13012029,Sweden,Stockholm,Spånga-Tensta,House,"$1,252.00",98
14601226,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$303.00,89
5505455,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$401.00,100
3015483,Sweden,Stockholm,Södermalm,Apartment,$548.00,98
23236659,Sweden,Hässelby-Vällingby,Hässelby-Vällingby,Apartment,$744.00,93
34074282,Sweden,Södermalm,Södermalm,Apartment,"$1,301.00",100
6683247,Norway,Oslo,St. Hanshaugen,Apartment,"$80,000.00",99
26477889,Sweden,Stockholm,Kungsholmen,Apartment,$636.00,97
2932163,Sweden,Stockholm,Norrmalm,Apartment,$695.00,97
24421042,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$401.00,100
9517964,Norway,Oslo,Sagene,Apartment,$654.00,80
3697262,Sweden,Stockholm,Kungsholmen,Apartment,$695.00,100
8010993,Norway,Oslo,Gamle Oslo,Apartment,$763.00,91
6929042,Sweden,Stockholm,Södermalm,Apartment,"$1,340.00",96
25079191,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Townhouse,"$1,203.00",100
9955597,Norway,Oslo,Grünerløkka,Apartment,$772.00,100
33628476,Sweden,Södermalm,Södermalm,Apartment,$988.00,100
13597166,Sweden,Stockholm,Södermalm,Apartment,"$1,203.00",100
33306149,Sweden,Hässelby-Vällingby,Hässelby-Vällingby,Apartment,$499.00,100
33132690,Sweden,Hässelby-Vällingby,Hässelby-Vällingby,Apartment,$264.00,100
33670071,Sweden,Södermalm,Södermalm,Apartment,$802.00,100
24731113,Sweden,Södermalm,Södermalm,Apartment,"$2,446.00",100
18817449,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$548.00,96
33964592,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$499.00,99
16188610,Sweden,Stockholm,Bromma,Apartment,$577.00,100
33259683,Sweden,Älvsjö,Älvsjö,House,"$1,448.00",100
1749268,Sweden,Stockholm,Södermalm,Apartment,"$1,605.00",93
35514983,Sweden,Farsta,Farsta,Townhouse,$949.00,100
6985780,Norway,Oslo,Majorstuen,Apartment,"$1,580.00",100
21248121,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$421.00,100
10509416,Sweden,Stockholm,Farsta,House,"$1,800.00",98
26225650,Sweden,Södermalm,Södermalm,Apartment,"$1,497.00",100
26068991,Sweden,Norrmalm,Norrmalm,Apartment,"$1,996.00",100
20262821,Sweden,Norrmalm,Norrmalm,Apartment,$802.00,100
6308937,Sweden,Stockholm,Södermalm,Apartment,$910.00,96
6832335,Sweden,Stockholm,Södermalm,Apartment,$802.00,90
6637302,Norway,Oslo,Grünerløkka,Apartment,$518.00,99
3443199,Norway,Oslo,Sagene,Apartment,$599.00,92
7046029,Sweden,Stockholm,Kungsholmen,Apartment,$538.00,100
12914040,Sweden,Stockholm,Södermalm,Apartment,$646.00,98
22684475,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$851.00,97
15286174,Sweden,Stockholm,Södermalm,Apartment,$587.00,95
15179952,Sweden,Stockholm,Kungsholmen,Apartment,"$1,047.00",100
36896319,Sweden,Gamla stan,Södermalm,Loft,"$1,702.00",95
21131953,Sweden,Södermalm,Södermalm,Apartment,$890.00,89
6274176,Sweden,Stockholm,Enskede-Årsta-Vantör,House,"$1,497.00",80
19118321,Sweden,Östermalm,Östermalm,Apartment,$724.00,95
18455386,Sweden,Stockholm,Östermalm,Apartment,$802.00,94
8924130,Sweden,Stockholm,Södermalm,Apartment,$949.00,93
2415155,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,"$1,497.00",100
8727391,Sweden,Stockholm,Östermalm,Apartment,$734.00,94
10739134,Norway,Oslo,Gamle Oslo,Apartment,$363.00,97
31632537,Sweden,Norrmalm,Norrmalm,Apartment,$998.00,95
5408488,Sweden,Stockholm,Enskede-Årsta-Vantör,Apartment,$391.00,96
34159014,Sweden,Älvsjö,Älvsjö,Villa,"$1,497.00",100
32954644,Sweden,Östermalm,Östermalm,Apartment,$313.00,95
38077037,Sweden,Södermalm,Södermalm,Condominium,"$1,203.00",96
19144454,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$998.00,100
7818852,Norway,Oslo,Grünerløkka,Apartment,"$1,199.00",100
