id,country,city,neighbourhood,property_type,price,review_scores_rating
10497074,Sweden,Stockholm,Norrmalm,Apartment,"$2,690.00",100
37047043,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,$264.00,100
24300177,Sweden,Bromma,Bromma,Apartment,$900.00,93
4182016,Norway,Oslo,Gamle Oslo,Apartment,"$1,952.00",93
13233029,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$352.00,20
29251050,Sweden,Stockholm,Kungsholmen,Apartment,$900.00,97
8222770,Norway,Oslo,Grünerløkka,Apartment,$499.00,100
21221399,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,$890.00,99
6970275,Sweden,Stockholm,Norrmalm,Apartment,"$1,800.00",80
18307650,Sweden,Stockholm,Östermalm,Apartment,"$3,503.00",100
26771845,Sweden,Norrmalm,Norrmalm,Apartment,$851.00,98
4007858,Sweden,Stockholm,Kungsholmen,Apartment,"$1,203.00",98
13621641,Sweden,Stockholm,Enskede-Årsta-Vantör,House,$695.00,91
1212891,Sweden,Stockholm,Kungsholmen,Apartment,$440.00,96
25218156,Sweden,Estocolmo,Spånga-Tensta,Apartment,$372.00,90
2085646,Norway,Oslo,Nordstrand,House,"$1,998.00",100
30415674,Sweden,Hammarbyhöjden,Skarpnäck,Apartment,"$1,096.00",97
9206233,Norway,Oslo,Sagene,Apartment,$381.00,87
9092588,Sweden,Stockholm,Kungsholmen,Apartment,$646.00,80
35540959,Sweden,Södermalm,Södermalm,Apartment,$851.00,98
3212802,Norway,Oslo,Gamle Oslo,Apartment,$400.00,97
5828569,Sweden,Stockholm,Södermalm,Apartment,"$1,605.00",97
32657064,Sweden,Stockholm,Södermalm,Apartment,"$1,096.00",100
2466500,Sweden,Stockholm,Södermalm,Apartment,$998.00,99
25065007,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,House,$704.00,100
15541200,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$900.00,100
636302,Norway,Oslo,Nordstrand,Apartment,$917.00,100
34015795,Sweden,Södermalm,Södermalm,Apartment,$421.00,95
4109968,Norway,Oslo,St. Hanshaugen,Apartment,$499.00,100
25902576,Sweden,Hägersten-Liljeholmen,Hägersten-Liljeholmen,Apartment,"$1,066.00",100
13852695,Sweden,Stockholm,Södermalm,Apartment,$724.00,80
1999509,Norway,Oslo,Grünerløkka,Loft,$454.00,99
24578030,Sweden,Kungsholmen,Kungsholmen,Apartment,$675.00,90
25480992,Sweden,Södermalm,Södermalm,Apartment,$333.00,99
35967779,Sweden,Enskede-Årsta-Vantör,Enskede-Årsta-Vantör,Apartment,"$1,096.00",100
35487368,Sweden,Södermalm,Skarpnäck,Apartment,$724.00,96
14723036,Sweden,Stockholm,Hägersten-Liljeholmen,Apartment,$802.00,98
13080466,Sweden,Stockholm,Södermalm,Apartment,"$1,066.00",100
20001849,Sweden,Hammarbyhöjden,Skarpnäck,Apartment,$704.00,97
17282454,Sweden,Stockholm,Norrmalm,Loft,$704.00,97
25471993,Sweden,Kungsholmen,Kungsholmen,Hotel,$597.00,98
28801120,Sweden,Södermalm,Södermalm,Apartment,$714.00,100
13977591,Sweden,Stockholm,Kungsholmen,Apartment,"$1,252.00",100
